Detector,Event,Counter,StatusCode,Pdg,Energy,Vx,Vy,Vz,PhotonSum
N,0,0,999,2112,396.207,0.0259469,-0.0977588,-11261.2,313
P,0,0,999,2112,396.207,0.0259469,-0.0977588,-11261.2,5
N,0,1,71646,-211,1.35384,13.1081,4.44245,-11253.2,0
P,0,1,71646,-211,1.35384,13.1081,4.44245,-11253.2,0
N,0,2,71644,-211,6.60788,18.9791,-1.39575,-11253.2,0
P,0,2,71644,-211,6.60788,18.9791,-1.39575,-11253.2,1
N,0,3,72109,22,0.0011128,-2.46828,-2.96665,-11275.7,0
P,0,3,72109,22,0.0011128,-2.46828,-2.96665,-11275.7,0
N,0,4,72112,2112,0.973548,24.1278,-6.00376,-11291.4,0
P,0,4,72112,2112,0.973548,24.1278,-6.00376,-11291.4,0
N,0,5,72134,22,0.00281023,-0.388104,-3.52507,-11269.9,0
P,0,5,72134,22,0.00281023,-0.388104,-3.52507,-11269.9,0
N,0,6,72133,22,0.00518977,-0.323986,-3.52202,-11269.8,0
P,0,6,72133,22,0.00518977,-0.323986,-3.52202,-11269.8,0
N,0,7,72165,22,0.00787377,-1.68443,-2.96614,-11274.9,0
P,0,7,72165,22,0.00787377,-1.68443,-2.96614,-11274.9,0
N,0,8,72182,2112,0.973526,15.3324,0.19965,-11267.7,0
P,0,8,72182,2112,0.973526,15.3324,0.19965,-11267.7,0
N,0,9,72210,22,0.00661437,21.762,-3.01383,-11346.8,0
P,0,9,72210,22,0.00661437,21.762,-3.01383,-11346.8,0
N,0,10,72219,22,0.00545776,-2.78393,-3.12032,-11283.8,0
P,0,10,72219,22,0.00545776,-2.78393,-3.12032,-11283.8,0
N,0,11,72263,-11,0.0126309,-1.35335,-3.29262,-11283.9,0
P,0,11,72263,-11,0.0126309,-1.35335,-3.29262,-11283.9,0
N,0,12,72276,22,0.00400591,-0.248446,-2.48706,-11285.1,0
P,0,12,72276,22,0.00400591,-0.248446,-2.48706,-11285.1,0
N,0,13,72275,22,0.0029368,-0.713879,-3.45217,-11284.2,0
P,0,13,72275,22,0.0029368,-0.713879,-3.45217,-11284.2,0
N,0,14,72282,22,0.00492035,-2.49408,-2.32119,-11270.6,0
P,0,14,72282,22,0.00492035,-2.49408,-2.32119,-11270.6,0
N,0,15,72281,22,0.00546202,-1.66984,-2.96673,-11271.7,0
P,0,15,72281,22,0.00546202,-1.66984,-2.96673,-11271.7,0
N,0,16,72288,22,0.251915,15.3327,-1.79609,-11278.5,0
P,0,16,72288,22,0.251915,15.3327,-1.79609,-11278.5,0
N,0,17,72379,22,13.2965,-1.58074,-1.23441,-11261.2,12
P,0,17,72379,22,13.2965,-1.58074,-1.23441,-11261.2,0
N,0,18,71632,211,51.5314,-1.09603,2.22192,-11261.2,33
P,0,18,71632,211,51.5314,-1.09603,2.22192,-11261.2,0
N,0,19,81247,22,0.00615391,17.7412,-5.81553,-11284,0
P,0,19,81247,22,0.00615391,17.7412,-5.81553,-11284,0
N,0,20,71625,-211,8.58279,-1.67526,0.570166,-11261.2,12
P,0,20,71625,-211,8.58279,-1.67526,0.570166,-11261.2,0
N,0,21,71622,-211,17.3254,-2.12181,1.3612,-11261.2,10
P,0,21,71622,-211,17.3254,-2.12181,1.3612,-11261.2,0
N,0,22,71619,-211,15.3765,0.0917848,0.401931,-11261.2,3
P,0,22,71619,-211,15.3765,0.0917848,0.401931,-11261.2,0
N,0,23,71612,2112,579.589,-0.0321516,0.159029,-11261.2,380
P,0,23,71612,2112,579.589,-0.0321516,0.159029,-11261.2,17
N,0,24,997,2112,142.725,-0.0129045,0.0399403,-11261.2,94
P,0,24,997,2112,142.725,-0.0129045,0.0399403,-11261.2,6
N,0,25,996,2112,157.332,0.00603555,-0.0429059,-11261.2,77
P,0,25,996,2112,157.332,0.00603555,-0.0429059,-11261.2,0
N,0,26,995,2112,921.807,0.00577463,0.0508264,-11261.2,698
P,0,26,995,2112,921.807,0.00577463,0.0508264,-11261.2,3
N,0,27,994,2112,210.328,-0.03755,0.0392378,-11261.2,132
P,0,27,994,2112,210.328,-0.03755,0.0392378,-11261.2,2
N,0,28,993,2112,485.259,0.0102046,-0.0551487,-11261.2,283
P,0,28,993,2112,485.259,0.0102046,-0.0551487,-11261.2,2
N,0,29,992,2112,102.699,0.0563406,-0.0165126,-11261.2,70
P,0,29,992,2112,102.699,0.0563406,-0.0165126,-11261.2,0
N,0,30,991,2112,360.095,0.0108695,-0.100071,-11261.2,281
P,0,30,991,2112,360.095,0.0108695,-0.100071,-11261.2,2
N,0,31,990,2112,222.589,0.0531063,0.000821588,-11261.2,170
P,0,31,990,2112,222.589,0.0531063,0.000821588,-11261.2,5
N,0,32,989,2112,380.982,0.0319982,-0.0277416,-11261.2,232
P,0,32,989,2112,380.982,0.0319982,-0.0277416,-11261.2,0
N,0,33,988,2112,574.113,-0.0447118,-0.0297656,-11261.2,401
P,0,33,988,2112,574.113,-0.0447118,-0.0297656,-11261.2,6
N,0,34,987,2112,125.064,-0.000697797,-0.0874752,-11261.2,107
P,0,34,987,2112,125.064,-0.000697797,-0.0874752,-11261.2,0
N,0,35,986,2112,484.221,-0.0277663,0.0553212,-11261.2,291
P,0,35,986,2112,484.221,-0.0277663,0.0553212,-11261.2,5
N,0,36,821655,-11,0.0559124,16.3804,4.73492,-11253.2,0
P,0,36,821655,-11,0.0559124,16.3804,4.73492,-11253.2,0
N,0,37,821687,22,0.00362929,24.6475,0.0260351,-11253.2,0
P,0,37,821687,22,0.00362929,24.6475,0.0260351,-11253.2,0
N,0,38,821614,-2212,27.8856,0.826252,0.0654746,-11261.2,15
P,0,38,821614,-2212,27.8856,0.826252,0.0654746,-11261.2,0
N,0,39,825864,22,6.34669,-1.8849,-0.636478,-11261.2,4
P,0,39,825864,22,6.34669,-1.8849,-0.636478,-11261.2,0
N,0,40,821610,211,99.1024,-0.471427,0.127587,-11261.2,74
P,0,40,821610,211,99.1024,-0.471427,0.127587,-11261.2,0
N,0,41,821609,-211,23.0145,0.0414763,-1.58518,-11261.2,6
P,0,41,821609,-211,23.0145,0.0414763,-1.58518,-11261.2,0
N,0,42,821606,2112,112.447,-0.541635,0.594795,-11261.2,50
P,0,42,821606,2112,112.447,-0.541635,0.594795,-11261.2,0
N,0,43,984,2112,104.107,0.00779761,0.0438234,-11261.2,55
P,0,43,984,2112,104.107,0.00779761,0.0438234,-11261.2,0
N,0,44,983,2112,265.275,-0.0616058,0.0348441,-11261.2,220
P,0,44,983,2112,265.275,-0.0616058,0.0348441,-11261.2,5
N,0,45,912474,-211,20.1371,1.09735,-1.66079,-11261.2,7
P,0,45,912474,-211,20.1371,1.09735,-1.66079,-11261.2,0
N,0,46,912470,2112,264.423,0.407443,0.966043,-11261.2,169
P,0,46,912470,2112,264.423,0.407443,0.966043,-11261.2,2
