Detector,Event,Counter,StatusCode,Pdg,Energy,Vx,Vy,Vz,PhotonSum
N,0,0,999,2112,396.207,0.0259469,-0.0977588,-11261.2,313
P,0,0,999,2112,396.207,0.0259469,-0.0977588,-11261.2,5
N,0,2,71644,-211,6.60788,18.9791,-1.39575,-11253.2,0
P,0,2,71644,-211,6.60788,18.9791,-1.39575,-11253.2,1
N,0,17,72379,22,13.2965,-1.58074,-1.23441,-11261.2,12
P,0,17,72379,22,13.2965,-1.58074,-1.23441,-11261.2,0
N,0,18,71632,211,51.5314,-1.09603,2.22192,-11261.2,33
P,0,18,71632,211,51.5314,-1.09603,2.22192,-11261.2,0
N,0,20,71625,-211,8.58279,-1.67526,0.570166,-11261.2,12
P,0,20,71625,-211,8.58279,-1.67526,0.570166,-11261.2,0
N,0,21,71622,-211,17.3254,-2.12181,1.3612,-11261.2,10
P,0,21,71622,-211,17.3254,-2.12181,1.3612,-11261.2,0
N,0,22,71619,-211,15.3765,0.0917848,0.401931,-11261.2,3
P,0,22,71619,-211,15.3765,0.0917848,0.401931,-11261.2,0
N,0,23,71612,2112,579.589,-0.0321516,0.159029,-11261.2,380
P,0,23,71612,2112,579.589,-0.0321516,0.159029,-11261.2,17
N,0,24,997,2112,142.725,-0.0129045,0.0399403,-11261.2,94
P,0,24,997,2112,142.725,-0.0129045,0.0399403,-11261.2,6
N,0,25,996,2112,157.332,0.00603555,-0.0429059,-11261.2,77
P,0,25,996,2112,157.332,0.00603555,-0.0429059,-11261.2,0
N,0,26,995,2112,921.807,0.00577463,0.0508264,-11261.2,698
P,0,26,995,2112,921.807,0.00577463,0.0508264,-11261.2,3
N,0,27,994,2112,210.328,-0.03755,0.0392378,-11261.2,132
P,0,27,994,2112,210.328,-0.03755,0.0392378,-11261.2,2
N,0,28,993,2112,485.259,0.0102046,-0.0551487,-11261.2,283
P,0,28,993,2112,485.259,0.0102046,-0.0551487,-11261.2,2
N,0,29,992,2112,102.699,0.0563406,-0.0165126,-11261.2,70
P,0,29,992,2112,102.699,0.0563406,-0.0165126,-11261.2,0
N,0,30,991,2112,360.095,0.0108695,-0.100071,-11261.2,281
P,0,30,991,2112,360.095,0.0108695,-0.100071,-11261.2,2
N,0,31,990,2112,222.589,0.0531063,0.000821588,-11261.2,170
P,0,31,990,2112,222.589,0.0531063,0.000821588,-11261.2,5
N,0,32,989,2112,380.982,0.0319982,-0.0277416,-11261.2,232
P,0,32,989,2112,380.982,0.0319982,-0.0277416,-11261.2,0
N,0,33,988,2112,574.113,-0.0447118,-0.0297656,-11261.2,401
P,0,33,988,2112,574.113,-0.0447118,-0.0297656,-11261.2,6
N,0,34,987,2112,125.064,-0.000697797,-0.0874752,-11261.2,107
P,0,34,987,2112,125.064,-0.000697797,-0.0874752,-11261.2,0
N,0,35,986,2112,484.221,-0.0277663,0.0553212,-11261.2,291
P,0,35,986,2112,484.221,-0.0277663,0.0553212,-11261.2,5
N,0,38,821614,-2212,27.8856,0.826252,0.0654746,-11261.2,15
P,0,38,821614,-2212,27.8856,0.826252,0.0654746,-11261.2,0
N,0,39,825864,22,6.34669,-1.8849,-0.636478,-11261.2,4
P,0,39,825864,22,6.34669,-1.8849,-0.636478,-11261.2,0
N,0,40,821610,211,99.1024,-0.471427,0.127587,-11261.2,74
P,0,40,821610,211,99.1024,-0.471427,0.127587,-11261.2,0
N,0,41,821609,-211,23.0145,0.0414763,-1.58518,-11261.2,6
P,0,41,821609,-211,23.0145,0.0414763,-1.58518,-11261.2,0
N,0,42,821606,2112,112.447,-0.541635,0.594795,-11261.2,50
P,0,42,821606,2112,112.447,-0.541635,0.594795,-11261.2,0
N,0,43,984,2112,104.107,0.00779761,0.0438234,-11261.2,55
P,0,43,984,2112,104.107,0.00779761,0.0438234,-11261.2,0
N,0,44,983,2112,265.275,-0.0616058,0.0348441,-11261.2,220
P,0,44,983,2112,265.275,-0.0616058,0.0348441,-11261.2,5
N,0,45,912474,-211,20.1371,1.09735,-1.66079,-11261.2,7
P,0,45,912474,-211,20.1371,1.09735,-1.66079,-11261.2,0
N,0,46,912470,2112,264.423,0.407443,0.966043,-11261.2,169
P,0,46,912470,2112,264.423,0.407443,0.966043,-11261.2,2
N,0,48,981,2112,330.998,-0.102925,-0.0280877,-11261.2,219
P,0,48,981,2112,330.998,-0.102925,-0.0280877,-11261.2,4
N,0,49,988807,-211,15.8772,-1.18234,-1.92812,-11261.2,5
P,0,49,988807,-211,15.8772,-1.18234,-1.92812,-11261.2,0
N,0,50,988801,211,102.378,-0.93927,0.152478,-11261.2,73
P,0,50,988801,211,102.378,-0.93927,0.152478,-11261.2,0
N,0,52,988799,-211,72.9462,-0.592775,-0.285785,-11261.2,52
P,0,52,988799,-211,72.9462,-0.592775,-0.285785,-11261.2,0
N,0,53,1015205,22,7.75055,-0.000949088,1.17281,-11261.2,8
P,0,53,1015205,22,7.75055,-0.000949088,1.17281,-11261.2,0
N,0,54,1015204,22,8.97315,-1.60884,-0.676681,-11261.2,9
P,0,54,1015204,22,8.97315,-1.60884,-0.676681,-11261.2,0
N,0,55,988791,2112,65.3654,0.99918,0.0919802,-11261.2,37
P,0,55,988791,2112,65.3654,0.99918,0.0919802,-11261.2,1
N,0,56,979,2112,200.504,-0.0851426,0.00246097,-11261.2,143
P,0,56,979,2112,200.504,-0.0851426,0.00246097,-11261.2,1
N,0,57,978,2112,81.6373,0.055384,-0.0912232,-11261.2,52
P,0,57,978,2112,81.6373,0.055384,-0.0912232,-11261.2,1
N,0,58,977,2112,979.682,0.0241904,0.0568064,-11261.2,695
P,0,58,977,2112,979.682,0.0241904,0.0568064,-11261.2,4
N,0,59,976,2112,434.493,0.0392748,0.0744296,-11261.2,285
P,0,59,976,2112,434.493,0.0392748,0.0744296,-11261.2,3
N,0,60,975,2112,555.344,-0.0127661,0.0662082,-11261.2,440
P,0,60,975,2112,555.344,-0.0127661,0.0662082,-11261.2,3
N,0,61,974,2112,819.018,0.0388343,0.037056,-11261.2,622
P,0,61,974,2112,819.018,0.0388343,0.037056,-11261.2,5
N,0,62,973,2112,572.13,-0.0698043,-0.0134781,-11261.2,391
P,0,62,973,2112,572.13,-0.0698043,-0.0134781,-11261.2,4
N,0,63,972,2112,734.016,-0.0301945,-0.0534045,-11261.2,461
P,0,63,972,2112,734.016,-0.0301945,-0.0534045,-11261.2,7
N,0,64,971,2112,525.37,0.000380864,0.0688131,-11261.2,440
P,0,64,971,2112,525.37,0.000380864,0.0688131,-11261.2,9
N,0,65,970,2112,754.27,-0.0481257,0.0177267,-11261.2,564
P,0,65,970,2112,754.27,-0.0481257,0.0177267,-11261.2,3
N,0,66,1973614,211,134.899,-0.358887,-0.122831,-11261.2,81
P,0,66,1973614,211,134.899,-0.358887,-0.122831,-11261.2,3
N,0,67,1990555,22,13.7649,0.466939,-3.4355,-11261.2,7
